Date,Open,High,Low,Close
2023-09-28,41.31,43.49,40.57,42.75
2023-09-29,42.3,42.9,39.55,40.15
2023-10-02,40.8,41.33,39.19,39.73
2023-10-03,39.58,41.14,38.97,40.54
2023-10-04,40.82,41.07,37.25,37.5
2023-10-05,37.09,38.56,34.11,35.58
2023-10-06,35.48,38.33,34.99,37.84
2023-10-09,38.05,39.02,35.45,36.42
2023-10-10,36.58,36.79,35.64,35.85
2023-10-11,35.75,36.69,35.49,36.43
2023-10-12,36.73,37.25,35.33,35.84
2023-10-13,35.88,36.49,34.15,34.76
2023-10-16,35.11,35.6,33.65,34.15
2023-10-17,34.07,34.81,32.92,33.66
2023-10-18,33.87,34.87,31.99,32.99
2023-10-19,32.84,33.3,32.82,33.28
2023-10-20,33.69,35.65,33.46,35.43
2023-10-23,35.43,36.14,35.26,35.97
2023-10-24,36.0,38.37,35.95,38.32
2023-10-25,38.12,39.48,38.11,39.48
2023-10-26,39.86,41.56,39.12,40.82
2023-10-27,40.89,43.5,39.19,41.81
2023-10-30,41.73,41.89,41.25,41.41
2023-10-31,41.94,42.21,41.88,42.15
2023-11-01,41.86,43.58,40.99,42.71
2023-11-02,43.12,43.93,40.21,41.03
2023-11-03,41.62,43.52,40.38,42.28
2023-11-06,41.6,43.71,41.18,43.29
2023-11-07,43.67,44.53,43.11,43.97
2023-11-08,44.21,45.22,42.13,43.13
2023-11-09,43.22,43.37,38.96,39.12
2023-11-10,39.25,41.77,38.9,41.42
2023-11-13,40.95,41.97,40.36,41.39
2023-11-14,41.58,41.69,38.08,38.18
2023-11-15,38.27,40.92,36.55,39.2
2023-11-16,38.65,39.28,37.62,38.25
2023-11-17,38.18,40.04,37.47,39.32
2023-11-20,38.88,39.54,38.58,39.24
2023-11-21,39.28,41.67,38.64,41.04
2023-11-22,40.69,43.46,38.7,41.47
2023-11-23,41.51,43.04,40.46,41.99
2023-11-24,41.42,42.54,41.18,42.3
2023-11-27,42.08,45.7,40.78,44.4
2023-11-28,44.21,44.38,42.18,42.35
2023-11-29,42.25,45.4,41.2,44.36
2023-11-30,44.82,46.02,44.41,45.61
2023-12-01,46.54,47.13,44.16,44.74
2023-12-04,44.09,46.14,42.77,44.82
2023-12-05,45.16,45.16,44.14,44.15
2023-12-06,44.02,44.53,43.81,44.32
2023-12-07,44.19,46.4,43.8,46.01
2023-12-08,45.87,46.15,44.64,44.92
2023-12-11,44.85,46.97,44.17,46.29
2023-12-12,46.24,48.51,45.78,48.05
2023-12-13,48.42,49.84,47.89,49.31
2023-12-14,49.9,54.02,48.27,52.4
2023-12-15,52.57,52.87,52.05,52.35
2023-12-18,52.37,53.92,52.28,53.84
2023-12-19,54.13,60.45,52.91,59.23
2023-12-20,59.45,60.05,58.8,59.4
2023-12-21,60.42,61.84,57.77,59.19
2023-12-22,58.66,60.79,57.18,59.31
2023-12-25,58.54,63.32,55.96,60.75
2023-12-26,60.59,61.05,58.99,59.45
2023-12-27,59.61,60.11,58.5,59.01
2023-12-28,58.87,59.55,54.64,55.32
2023-12-29,55.42,55.84,52.84,53.26
2024-01-01,51.97,54.05,49.25,51.34
2024-01-02,50.94,51.23,48.94,49.22
2024-01-03,48.89,50.29,47.09,48.49
2024-01-04,47.85,50.46,47.26,49.87
2024-01-05,49.55,50.21,48.57,49.24
2024-01-08,49.09,50.21,45.8,46.92
2024-01-09,47.05,47.47,47.02,47.44
2024-01-10,46.98,48.63,46.18,47.83
2024-01-11,47.04,47.81,44.68,45.44
2024-01-12,45.56,45.89,45.45,45.78
2024-01-15,46.56,46.92,43.67,44.03
2024-01-16,44.05,44.12,43.0,43.07
2024-01-17,43.07,43.86,41.17,41.96
2024-01-18,41.53,44.44,40.45,43.36
2024-01-19,43.4,43.89,41.61,42.1
2024-01-22,42.68,42.89,41.46,41.67
2024-01-23,40.87,43.14,39.76,42.03
2024-01-24,42.38,44.33,41.83,43.78
2024-01-25,42.94,47.06,41.74,45.86
2024-01-26,46.45,46.62,44.03,44.2
2024-01-29,44.5,47.09,43.72,46.31
2024-01-30,46.13,47.11,45.94,46.91
2024-01-31,47.0,49.3,46.86,49.17
2024-02-01,49.89,51.64,49.5,51.25
2024-02-02,50.71,50.81,50.22,50.32
2024-02-05,50.84,52.12,49.21,50.48
2024-02-06,50.72,50.99,49.74,50.01
2024-02-07,49.98,51.81,48.98,50.81
2024-02-08,51.47,54.44,51.21,54.19
2024-02-09,53.33,56.14,51.59,54.4
2024-02-12,54.3,55.82,51.62,53.14
2024-02-13,52.53,59.16,51.95,58.59
2024-02-14,58.53,59.78,55.28,56.53
2024-02-15,56.78,57.52,55.89,56.63
2024-02-16,55.76,59.32,53.14,56.7
2024-02-19,56.82,57.77,53.19,54.14
2024-02-20,54.25,56.25,53.88,55.88
2024-02-21,55.55,58.97,54.85,58.28
2024-02-22,58.2,58.33,58.08,58.2
2024-02-23,58.76,60.23,56.97,58.43
2024-02-26,58.57,59.0,57.75,58.18
2024-02-27,59.04,59.29,54.27,54.53
2024-02-28,53.97,56.19,52.91,55.13
2024-02-29,54.46,56.71,50.44,52.69
2024-03-01,53.26,53.93,50.24,50.91
2024-03-04,50.26,52.74,49.29,51.77
2024-03-05,52.34,54.23,51.82,53.71
2024-03-06,53.68,54.59,51.16,52.07
2024-03-07,52.38,54.92,51.92,54.46
2024-03-08,54.27,58.36,54.23,58.33
2024-03-11,58.87,60.43,57.26,58.81
2024-03-12,59.52,59.57,58.7,58.75
2024-03-13,59.39,61.65,57.05,59.31
2024-03-14,59.56,60.27,57.82,58.53
2024-03-15,57.79,58.48,56.09,56.77
2024-03-18,57.27,59.75,55.8,58.28
2024-03-19,58.32,60.43,57.89,60.0
2024-03-20,60.72,61.38,58.33,58.99
2024-03-21,58.15,58.88,57.47,58.2
2024-03-22,58.43,58.82,56.57,56.96
2024-03-25,56.72,57.36,54.94,55.58
2024-03-26,55.55,56.1,53.14,53.68
2024-03-27,54.11,54.8,50.12,50.81
2024-03-28,51.2,53.59,50.29,52.68
2024-03-29,53.37,55.05,50.4,52.08
2024-04-01,52.3,52.8,51.82,52.31
2024-04-02,52.58,56.64,52.02,56.08
2024-04-03,56.25,56.84,54.58,55.16
2024-04-04,54.58,56.59,54.47,56.48
2024-04-05,57.05,57.7,53.13,53.78
2024-04-08,53.38,53.6,52.4,52.62
2024-04-09,52.37,55.04,51.45,54.11
2024-04-10,54.33,55.29,52.72,53.68
2024-04-11,53.35,53.68,50.61,50.95
2024-04-12,50.73,51.88,47.02,48.17
2024-04-15,47.07,49.75,46.19,48.86
2024-04-16,48.47,49.15,46.58,47.26
2024-04-17,46.77,49.82,45.51,48.56
2024-04-18,48.27,49.89,47.51,49.13
2024-04-19,49.37,50.4,47.59,48.62
2024-04-22,48.49,49.88,47.18,48.57
2024-04-23,48.5,50.72,47.81,50.03
2024-04-24,50.07,50.33,49.91,50.17
2024-04-25,50.63,50.82,48.3,48.49
2024-04-26,48.97,49.41,48.72,49.17
2024-04-29,49.35,50.12,47.82,48.59
2024-04-30,48.48,48.98,47.73,48.24
2024-05-01,48.64,49.6,48.39,49.35
2024-05-02,49.22,50.9,48.35,50.03
2024-05-03,49.95,52.75,49.25,52.05
2024-05-06,52.2,53.0,50.96,51.76
2024-05-07,51.53,52.59,49.91,50.96
2024-05-08,50.45,51.19,49.66,50.4
2024-05-09,49.83,52.47,48.54,51.19
2024-05-10,51.05,52.56,48.23,49.75
2024-05-13,49.85,50.83,48.18,49.16
2024-05-14,49.45,50.17,46.99,47.7
2024-05-15,47.37,49.59,44.2,46.42
2024-05-16,46.52,46.92,45.77,46.18
2024-05-17,46.2,50.6,46.2,50.59
2024-05-20,50.4,51.13,49.23,49.96
2024-05-21,51.15,51.9,49.77,50.52
2024-05-22,50.2,51.07,49.91,50.78
2024-05-23,50.41,51.04,49.91,50.53
2024-05-24,50.62,51.0,50.29,50.67
2024-05-27,51.42,55.2,50.8,54.58
2024-05-28,54.42,55.23,53.34,54.14
2024-05-29,54.84,57.7,54.69,57.55
2024-05-30,57.05,59.7,56.39,59.04
2024-05-31,58.87,59.65,56.49,57.27
2024-06-03,57.21,57.34,55.88,56.01
2024-06-04,55.92,56.52,54.56,55.16
2024-06-05,55.23,55.62,52.68,53.08
2024-06-06,53.07,57.22,51.33,55.47
2024-06-07,55.42,56.48,55.36,56.42
2024-06-10,55.96,58.0,55.6,57.63
2024-06-11,57.95,58.4,55.14,55.58
2024-06-12,55.67,57.0,55.31,56.65
2024-06-13,56.84,57.05,55.42,55.63
2024-06-14,56.3,61.06,56.2,60.95
2024-06-17,61.31,61.82,60.35,60.86
2024-06-18,61.07,62.13,60.54,61.6
2024-06-19,62.49,63.52,61.63,62.66
2024-06-20,62.5,63.22,60.96,61.68
2024-06-21,60.9,62.69,59.12,60.91
2024-06-24,60.68,61.46,59.36,60.14
2024-06-25,59.56,62.49,59.23,62.16
2024-06-26,62.11,63.49,59.25,60.62
2024-06-27,60.58,64.01,56.94,60.37
2024-06-28,60.42,61.29,60.35,61.21
2024-07-01,61.46,61.91,59.96,60.4
2024-07-02,60.84,62.95,55.43,57.54
2024-07-03,57.85,59.29,53.73,55.16
2024-07-04,55.32,56.23,53.51,54.42
2024-07-05,54.35,54.66,52.29,52.61
2024-07-08,52.45,56.25,50.79,54.6
2024-07-09,54.66,54.9,54.47,54.72
2024-07-10,54.66,54.94,54.48,54.75
2024-07-11,54.29,55.94,51.19,52.84
2024-07-12,52.71,54.59,52.08,53.96
2024-07-15,54.36,54.43,53.26,53.34
2024-07-16,53.42,54.0,51.01,51.58
2024-07-17,51.26,51.96,49.75,50.46
2024-07-18,50.62,56.17,49.62,55.16
2024-07-19,55.53,57.06,52.49,54.02
2024-07-22,53.56,55.25,50.71,52.4
2024-07-23,53.25,56.34,51.66,54.75
2024-07-24,55.38,57.22,54.49,56.33
2024-07-25,56.32,57.45,54.7,55.82
2024-07-26,56.45,59.31,55.95,58.8
2024-07-29,59.02,59.92,54.9,55.8
2024-07-30,56.19,57.77,53.32,54.9
2024-07-31,54.55,55.39,50.92,51.76
2024-08-01,51.61,54.84,51.27,54.5
2024-08-02,54.46,55.05,54.06,54.65
2024-08-05,54.68,62.56,52.29,60.17
2024-08-06,59.99,61.62,59.65,61.27
2024-08-07,60.49,63.21,59.71,62.42
2024-08-08,61.89,62.84,59.0,59.95
2024-08-09,60.26,60.83,56.9,57.47
2024-08-12,57.33,59.09,54.74,56.49
2024-08-13,57.41,60.22,55.61,58.43
2024-08-14,59.21,59.79,55.68,56.26
2024-08-15,56.21,57.64,50.15,51.57
2024-08-16,51.72,54.16,50.78,53.21
2024-08-19,52.41,55.34,52.08,55.02
2024-08-20,55.42,56.97,51.63,53.18
2024-08-21,53.76,54.16,53.62,54.02
2024-08-22,53.71,56.69,53.29,56.26
2024-08-23,55.93,59.35,55.26,58.69
2024-08-26,58.45,59.05,54.76,55.36
2024-08-27,55.77,56.76,54.44,55.43
2024-08-28,56.0,57.63,52.2,53.82
2024-08-29,53.41,55.85,53.26,55.69
2024-08-30,55.56,56.61,54.76,55.8
2024-09-02,56.12,56.69,52.74,53.3
2024-09-03,53.46,54.43,52.44,53.42
2024-09-04,53.33,56.73,51.1,54.5
2024-09-05,54.81,54.98,51.21,51.39
2024-09-06,51.03,51.93,47.9,48.8
2024-09-09,48.21,48.33,47.37,47.49
2024-09-10,47.8,47.92,46.74,46.86
2024-09-11,47.21,47.77,45.23,45.78
2024-09-12,46.36,47.6,41.45,42.69
2024-09-13,42.62,43.38,39.44,40.2
2024-09-16,39.94,40.25,39.73,40.04
2024-09-17,40.1,40.76,39.89,40.54
2024-09-18,40.56,41.44,38.26,39.14
2024-09-19,39.2,39.43,39.05,39.28
2024-09-20,39.29,42.83,38.46,42.0
2024-09-23,42.54,42.9,41.21,41.57
2024-09-24,41.73,42.08,40.46,40.81
2024-09-25,41.34,41.38,39.64,39.68
2024-09-26,39.48,40.51,39.27,40.29
2024-09-27,39.98,41.59,38.96,40.56
2024-09-30,40.94,42.05,39.76,40.87
2024-10-01,40.48,41.24,39.49,40.25
2024-10-02,39.89,41.01,39.69,40.81
2024-10-03,40.45,41.42,40.42,41.39
2024-10-04,40.77,42.19,39.71,41.13
2024-10-07,41.34,43.58,40.65,42.89
2024-10-08,43.57,43.87,40.16,40.46
2024-10-09,40.7,42.06,40.15,41.51
2024-10-10,41.86,42.72,40.43,41.3
2024-10-11,41.21,42.85,40.94,42.58
2024-10-14,42.26,46.16,41.77,45.67
2024-10-15,45.93,46.84,44.83,45.75
2024-10-16,45.32,45.79,44.96,45.43
2024-10-17,44.85,45.86,44.39,45.4
2024-10-18,45.09,48.32,44.57,47.8
2024-10-21,48.28,51.09,47.82,50.62
2024-10-22,50.83,51.02,50.78,50.97
2024-10-23,50.89,52.53,50.6,52.24
2024-10-24,51.78,56.86,50.8,55.88
2024-10-25,55.45,58.05,54.46,57.06
2024-10-28,57.26,58.47,52.83,54.03
2024-10-29,54.03,55.28,51.23,52.49
2024-10-30,52.16,52.4,51.37,51.62
2024-10-31,52.17,52.66,51.97,52.45
2024-11-01,52.17,53.9,49.72,51.44
2024-11-04,50.73,54.74,50.24,54.25
2024-11-05,54.15,55.2,52.34,53.39
2024-11-06,53.92,57.84,52.77,56.69
2024-11-07,57.07,57.29,55.21,55.43
2024-11-08,55.91,59.22,55.07,58.39
2024-11-11,57.99,59.73,57.18,58.92
2024-11-12,59.17,63.39,58.04,62.26
2024-11-13,62.35,69.08,60.39,67.12
2024-11-14,66.99,72.1,66.7,71.82
2024-11-15,71.1,76.49,69.46,74.85
2024-11-18,75.69,77.66,71.02,73.0
2024-11-19,73.07,74.72,69.38,71.03
2024-11-20,70.69,70.85,63.13,63.29
2024-11-21,63.71,67.21,63.56,67.06
2024-11-22,68.59,72.41,66.71,70.52
2024-11-25,69.58,74.88,68.2,73.5
2024-11-26,73.67,73.89,70.48,70.7
2024-11-27,71.85,78.75,71.74,78.63
2024-11-28,79.93,82.49,74.4,76.96
2024-11-29,76.25,81.15,74.89,79.79
2024-12-02,79.4,79.75,75.05,75.4
2024-12-03,74.01,74.03,73.96,73.98
2024-12-04,73.93,78.83,72.85,77.75
2024-12-05,76.65,85.09,72.68,81.13
2024-12-06,80.31,80.75,77.79,78.23
2024-12-09,79.17,80.38,77.08,78.29
2024-12-10,77.41,83.74,75.64,81.98
2024-12-11,80.63,80.69,76.77,76.83
2024-12-12,76.8,81.03,75.16,79.39
2024-12-13,79.5,82.09,72.62,75.21
2024-12-16,75.34,78.39,74.27,77.31
2024-12-17,78.11,79.19,75.77,76.86
2024-12-18,76.37,81.46,74.94,80.04
2024-12-19,79.93,82.24,76.48,78.79
2024-12-20,79.24,79.85,77.41,78.02
2024-12-23,77.73,78.35,76.61,77.23
2024-12-24,78.21,79.72,73.22,74.73
2024-12-25,75.4,75.48,74.06,74.15
2024-12-26,74.19,74.61,71.13,71.55
2024-12-27,71.45,72.61,69.06,70.22
2024-12-30,70.26,73.34,69.12,72.19
2024-12-31,72.42,73.38,70.51,71.47
2025-01-01,70.23,77.52,67.26,74.55
2025-01-02,73.71,78.64,71.77,76.71
2025-01-03,76.18,80.06,75.41,79.29
2025-01-06,78.69,78.91,75.9,76.12
2025-01-07,75.69,79.4,73.75,77.46
2025-01-08,77.04,83.51,75.45,81.92
2025-01-09,81.98,86.14,80.76,84.92
2025-01-10,84.66,89.26,84.5,89.1
2025-01-13,89.36,95.94,87.93,94.52
2025-01-14,94.77,96.54,87.71,89.48
2025-01-15,89.41,93.02,87.98,91.59
2025-01-16,91.22,93.83,91.08,93.69
2025-01-17,93.03,94.75,91.46,93.19
2025-01-20,93.8,94.56,88.13,88.88
2025-01-21,88.47,91.35,86.66,89.55
2025-01-22,89.67,91.61,87.25,89.18
2025-01-23,89.77,98.03,87.9,96.16
2025-01-24,96.27,101.63,95.85,101.21
2025-01-27,99.69,100.52,99.04,99.86
2025-01-28,99.09,99.79,95.47,96.17
2025-01-29,97.8,97.99,93.14,93.34
2025-01-30,91.87,95.33,89.89,93.34
2025-01-31,94.29,95.53,89.77,91.01
2025-02-03,90.0,100.77,87.45,98.23
2025-02-04,98.17,99.19,93.1,94.11
2025-02-05,94.89,96.93,91.95,93.99
2025-02-06,93.01,97.01,90.7,94.71
2025-02-07,95.42,97.16,94.67,96.41
2025-02-10,94.34,97.86,89.8,93.31
2025-02-11,93.03,93.97,91.8,92.74
2025-02-12,92.05,94.38,91.25,93.59
2025-02-13,93.77,97.13,91.62,94.98
2025-02-14,95.47,99.55,89.08,93.15
2025-02-17,93.98,95.96,90.33,92.31
2025-02-18,93.1,93.86,92.55,93.32
2025-02-19,92.79,101.29,92.04,100.53
2025-02-20,99.52,100.94,94.92,96.34
2025-02-21,96.53,100.33,95.37,99.17
2025-02-24,98.5,107.61,96.43,105.54
2025-02-25,103.33,103.34,100.45,100.45
2025-02-26,98.28,108.48,96.19,106.39
2025-02-27,105.75,113.63,104.66,112.53
2025-02-28,111.86,115.17,109.89,113.2
2025-03-03,113.01,119.33,111.46,117.79
2025-03-04,117.71,127.63,115.07,124.99
2025-03-05,122.89,124.98,122.68,124.77
2025-03-06,124.8,126.84,124.32,126.36
2025-03-07,124.74,124.86,121.78,121.9
2025-03-10,122.07,123.19,118.18,119.29
2025-03-11,118.97,124.37,114.74,120.14
2025-03-12,121.56,123.42,118.43,120.29
2025-03-13,120.39,131.44,117.34,128.39
2025-03-14,127.45,128.05,127.34,127.94
2025-03-17,127.34,128.47,121.73,122.86
2025-03-18,122.6,128.89,121.36,127.65
2025-03-19,128.0,135.35,125.44,132.8
2025-03-20,133.4,135.99,132.89,135.47
2025-03-21,134.09,136.21,133.35,135.46
2025-03-24,133.91,134.21,131.89,132.19
2025-03-25,132.8,135.46,127.02,129.68
2025-03-26,129.42,142.41,125.02,138.01
2025-03-27,139.08,143.5,138.42,142.85
2025-03-28,143.21,148.37,138.99,144.15
2025-03-31,146.12,148.91,144.41,147.2
2025-04-01,147.8,150.28,143.59,146.06
2025-04-02,144.21,147.39,138.63,141.82
2025-04-03,141.04,141.42,139.66,140.05
2025-04-04,140.52,144.69,136.3,140.47
2025-04-07,138.91,140.41,131.24,132.74
2025-04-08,132.54,132.98,125.92,126.35
2025-04-09,126.93,127.2,118.69,118.96
2025-04-10,119.98,121.1,116.35,117.47
2025-04-11,118.23,122.67,116.24,120.68
2025-04-14,118.88,119.58,114.51,115.22
2025-04-15,116.29,117.07,110.0,110.78
2025-04-16,109.75,109.9,104.5,104.65
2025-04-17,104.59,107.26,100.48,103.14
2025-04-18,102.25,105.34,95.83,98.91
2025-04-21,99.64,103.37,91.74,95.48
2025-04-22,95.32,95.98,91.17,91.83
2025-04-23,91.94,101.2,90.87,100.14
2025-04-24,100.44,100.47,99.97,100.0
2025-04-25,99.84,101.87,95.75,97.77
2025-04-28,97.12,97.37,96.06,96.31
2025-04-29,97.48,102.31,94.86,99.69
2025-04-30,100.15,105.98,97.76,103.6
2025-05-01,104.25,105.21,103.88,104.84
2025-05-02,103.12,103.15,97.54,97.58
2025-05-05,95.77,101.45,95.76,101.44
2025-05-06,102.9,106.58,102.11,105.79
2025-05-07,106.39,111.58,103.94,109.13
2025-05-08,107.32,114.48,104.15,111.31
2025-05-09,111.63,112.38,111.11,111.86
2025-05-12,111.84,118.21,110.88,117.24
2025-05-13,116.1,117.09,115.18,116.16
2025-05-14,115.61,121.95,114.71,121.05
2025-05-15,122.94,126.67,115.42,119.15
2025-05-16,118.27,121.84,114.14,117.71
2025-05-19,118.11,119.1,115.03,116.03
2025-05-20,115.07,116.19,112.76,113.88
2025-05-21,112.21,115.14,109.12,112.05
2025-05-22,114.41,117.41,112.52,115.53
2025-05-23,116.12,124.26,114.61,122.75
2025-05-26,122.1,123.98,117.94,119.81
2025-05-27,119.29,119.71,115.06,115.48
2025-05-28,115.07,125.62,110.73,121.28
2025-05-29,119.99,120.07,119.94,120.02
2025-05-30,120.36,123.88,118.01,121.53
2025-06-02,122.07,122.8,121.75,122.48
2025-06-03,121.87,127.55,121.31,126.99
2025-06-04,126.77,127.9,121.99,123.11
2025-06-05,121.52,129.12,121.17,128.77
2025-06-06,128.9,133.54,128.32,132.96
2025-06-09,130.44,131.72,121.41,122.69
2025-06-10,122.41,125.54,119.06,122.19
2025-06-11,123.63,128.15,116.18,120.7
2025-06-12,120.23,123.18,119.72,122.67
2025-06-13,125.53,128.21,119.94,122.62
2025-06-16,121.25,122.3,118.39,119.44
2025-06-17,119.01,120.45,116.68,118.11
2025-06-18,117.93,121.76,116.06,119.89
2025-06-19,120.73,122.64,118.38,120.29
2025-06-20,121.45,121.89,119.37,119.81
2025-06-23,119.85,131.54,118.74,130.43
2025-06-24,128.51,134.36,127.44,133.29
2025-06-25,134.84,135.54,127.36,128.05
2025-06-26,128.65,131.55,125.96,128.86
2025-06-27,129.64,131.42,128.9,130.68
2025-06-30,128.67,130.84,123.97,126.14
2025-07-01,126.52,126.97,126.47,126.91
2025-07-02,126.56,126.88,122.87,123.19
2025-07-03,124.1,129.08,108.58,113.55
2025-07-04,115.18,117.29,113.12,115.23
2025-07-07,114.21,123.35,109.05,118.19
2025-07-08,117.92,123.33,115.77,121.18
2025-07-09,121.05,122.36,119.43,120.74
2025-07-10,119.74,122.44,115.61,118.31
2025-07-11,118.72,121.79,116.51,119.58
2025-07-14,119.96,122.23,119.48,121.74
2025-07-15,120.61,126.26,120.58,126.23
2025-07-16,125.09,135.97,122.1,132.98
2025-07-17,133.1,141.66,128.77,137.34
2025-07-18,134.98,135.28,134.36,134.67
2025-07-21,134.86,137.75,131.77,134.67
2025-07-22,135.52,139.06,124.5,128.04
2025-07-23,128.84,136.35,124.3,131.8
2025-07-24,130.53,139.74,125.79,134.99
2025-07-25,136.98,143.58,134.85,141.45
2025-07-28,143.91,145.1,143.2,144.39
2025-07-29,142.78,154.18,142.08,153.48
2025-07-30,155.68,156.45,149.12,149.89
2025-07-31,151.5,152.41,151.21,152.12
2025-08-01,153.2,153.62,150.65,151.08
2025-08-04,149.93,152.07,148.06,150.19
2025-08-05,151.44,153.97,138.37,140.9
2025-08-06,139.43,139.77,136.99,137.32
2025-08-07,137.31,139.63,125.42,127.74
2025-08-08,128.62,129.93,125.11,126.41
2025-08-11,126.95,127.18,123.16,123.39
2025-08-12,123.06,125.0,122.27,124.21
2025-08-13,124.61,125.6,115.23,116.21
2025-08-14,116.08,118.52,111.69,114.13
2025-08-15,114.42,118.32,109.28,113.19
2025-08-18,112.43,115.79,100.59,103.95
2025-08-19,102.89,110.85,102.65,110.6
2025-08-20,110.08,112.92,109.85,112.69
2025-08-21,111.48,114.83,106.24,109.58
2025-08-22,110.7,119.62,108.72,117.64
2025-08-25,120.39,124.2,119.98,123.79
2025-08-26,124.57,125.04,112.44,112.91
2025-08-27,114.11,117.31,108.5,111.7
2025-08-28,110.69,112.16,107.68,109.15
2025-08-29,109.05,113.08,105.34,109.37
2025-09-01,108.32,110.32,103.57,105.57
2025-09-02,106.2,106.57,104.2,104.57
2025-09-03,104.71,107.29,102.3,104.89
2025-09-04,103.99,105.27,94.28,95.55
2025-09-05,96.77,98.09,94.68,96.0
2025-09-08,96.0,107.0,90.19,101.19
2025-09-09,101.92,104.66,98.95,101.69
2025-09-10,102.52,106.67,102.03,106.19
2025-09-11,107.56,118.31,101.97,112.72
2025-09-12,114.03,114.28,113.76,114.01
2025-09-15,114.07,118.49,111.34,115.77
2025-09-16,115.55,120.24,112.94,117.63
2025-09-17,116.98,119.76,113.1,115.88
2025-09-18,114.81,128.71,112.43,126.32
2025-09-19,128.28,128.85,128.02,128.6
2025-09-22,127.93,134.97,124.46,131.5
2025-09-23,133.1,138.18,131.41,136.49
2025-09-24,135.39,145.79,134.09,144.49
2025-09-25,143.5,146.36,134.68,137.53
2025-09-26,138.61,139.68,131.49,132.56
2025-09-29,132.25,137.33,128.41,133.49
2025-09-30,132.42,136.94,131.83,136.35
2025-10-01,138.14,139.77,128.89,130.51
2025-10-02,128.9,129.95,123.12,124.16
2025-10-03,123.13,129.46,121.67,128.0
2025-10-06,128.59,131.87,128.43,131.71
2025-10-07,133.28,133.6,130.16,130.48
2025-10-08,130.28,131.19,128.32,129.23
2025-10-09,128.09,129.3,125.12,126.33
2025-10-10,128.62,130.65,118.96,120.99
2025-10-13,120.81,121.79,116.18,117.16
2025-10-14,116.32,120.98,113.3,117.96
2025-10-15,117.89,118.42,116.66,117.19
2025-10-16,118.21,121.58,118.18,121.55
2025-10-17,118.38,119.54,114.52,115.68
2025-10-20,114.42,117.44,105.52,108.53
2025-10-21,109.02,111.73,108.14,110.85
2025-10-22,111.18,115.05,103.09,106.96
2025-10-23,106.83,107.41,105.07,105.65
2025-10-24,105.34,107.6,103.44,105.7
2025-10-27,106.07,108.33,98.48,100.74
2025-10-28,101.53,102.68,93.87,95.02
2025-10-29,94.39,96.81,93.46,95.88
2025-10-30,95.37,97.31,84.54,86.48
2025-10-31,86.92,89.12,86.2,88.4
2025-11-03,88.0,90.07,80.5,82.57
2025-11-04,81.5,86.11,80.36,84.98
2025-11-05,84.71,87.04,83.51,85.84
2025-11-06,84.88,89.32,82.01,86.46
2025-11-07,86.79,91.11,83.61,87.93
2025-11-10,88.47,90.72,86.01,88.25
2025-11-11,87.64,91.36,79.97,83.69
